Date : 2023-01-21 14:20:54
Directory : /home/kayla/Documents/GitHub/ThermalSimulation
Total : 56 files,  20370 codes, 188 comments, 265 blanks, all 20823 lines

Languages
+--------------------------+------------+------------+------------+------------+------------+
| language                 | files      | code       | comment    | blank      | total      |
+--------------------------+------------+------------+------------+------------+------------+
| JSON                     |         14 |     18,485 |          0 |          0 |     18,485 |
| C#                       |         28 |      1,528 |        168 |        229 |      1,925 |
| MonoGame Content Builder |          1 |        171 |         20 |         24 |        215 |
| XML                      |          9 |        154 |          0 |          7 |        161 |
| Properties               |          3 |         30 |          0 |          3 |         33 |
| Markdown                 |          1 |          2 |          0 |          2 |          4 |
+--------------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                    | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                       |         56 |     20,370 |        188 |        265 |     20,823 |
| . (Files)                                                                                                                               |          4 |        122 |          9 |         26 |        157 |
| .config                                                                                                                                 |          1 |         36 |          0 |          0 |         36 |
| Content                                                                                                                                 |          1 |        171 |         20 |         24 |        215 |
| Tests                                                                                                                                   |         13 |      8,257 |         11 |         17 |      8,285 |
| Tests (Files)                                                                                                                           |          3 |         43 |          0 |          9 |         52 |
| Tests/bin                                                                                                                               |          2 |      1,834 |          0 |          0 |      1,834 |
| Tests/bin/Debug                                                                                                                         |          2 |      1,834 |          0 |          0 |      1,834 |
| Tests/bin/Debug/net6.0                                                                                                                  |          2 |      1,834 |          0 |          0 |      1,834 |
| Tests/obj                                                                                                                               |          8 |      6,380 |         11 |          8 |      6,399 |
| Tests/obj (Files)                                                                                                                       |          4 |      6,351 |          0 |          0 |      6,351 |
| Tests/obj/Debug                                                                                                                         |          4 |         29 |         11 |          8 |         48 |
| Tests/obj/Debug/net6.0                                                                                                                  |          4 |         29 |         11 |          8 |         48 |
| ThermalClasses                                                                                                                          |         26 |      1,773 |        138 |        191 |      2,102 |
| ThermalClasses (Files)                                                                                                                  |          1 |         11 |          0 |          2 |         13 |
| ThermalClasses/CollisionHandling                                                                                                        |          2 |        236 |         46 |         26 |        308 |
| ThermalClasses/GameObjects                                                                                                              |         11 |        638 |         22 |         94 |        754 |
| ThermalClasses/GameObjects (Files)                                                                                                      |          5 |        287 |          9 |         48 |        344 |
| ThermalClasses/GameObjects/ObjectCollections                                                                                            |          4 |        232 |          2 |         28 |        262 |
| ThermalClasses/GameObjects/Particles                                                                                                    |          2 |        119 |         11 |         18 |        148 |
| ThermalClasses/Handlers                                                                                                                 |          2 |        473 |         27 |         52 |        552 |
| ThermalClasses/PhysicsLaws                                                                                                              |          1 |         38 |         32 |          9 |         79 |
| ThermalClasses/bin                                                                                                                      |          1 |         92 |          0 |          0 |         92 |
| ThermalClasses/bin/Debug                                                                                                                |          1 |         92 |          0 |          0 |         92 |
| ThermalClasses/bin/Debug/net6.0                                                                                                         |          1 |         92 |          0 |          0 |         92 |
| ThermalClasses/obj                                                                                                                      |          8 |        285 |         11 |          8 |        304 |
| ThermalClasses/obj (Files)                                                                                                              |          4 |        264 |          0 |          0 |        264 |
| ThermalClasses/obj/Debug                                                                                                                |          4 |         21 |         11 |          8 |         40 |
| ThermalClasses/obj/Debug/net6.0                                                                                                         |          4 |         21 |         11 |          8 |         40 |
| bin                                                                                                                                     |          4 |      3,670 |          0 |          0 |      3,670 |
| bin/Debug                                                                                                                               |          4 |      3,670 |          0 |          0 |      3,670 |
| bin/Debug/net6.0                                                                                                                        |          4 |      3,670 |          0 |          0 |      3,670 |
| obj                                                                                                                                     |          7 |      6,341 |         10 |          7 |      6,358 |
| obj (Files)                                                                                                                             |          4 |      6,327 |          0 |          0 |      6,327 |
| obj/Debug                                                                                                                               |          3 |         14 |         10 |          7 |         31 |
